# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
shè;yu zhì;sv 	设置	c=4 d=1.33464 t=5390
shè;yu zhì;sv duì;cy,yc de;bu 	设置对的	c=1 d=0.000359786 t=5390
shèng;di xià;ab,ad 	剩下	c=1 d=0.951229 t=5390
shén;ru me;ps 	什么	c=26 d=3.2855 t=5390
shén;ru me;ps de;bu 	什么的	c=1 d=0.0328764 t=5390
shén;ru me;ps qíng;xq kuàng;dx 	什么情况	c=1 d=0.955997 t=5390
shén;ru me;ps yì;xy,lx si;tx,xt 	什么意思	c=2 d=0.715338 t=5390
shì;bv yǒu;yu,uy 	室友	c=1 d=0.0072265 t=5390
shì;ca,cv,aa jiè;tj guān;jy,yj 	世界观	c=1 d=0.0987662 t=5390
shì;ju,uj pín;yb 	视频	c=5 d=0.190238 t=5390
shì;op,ov 	是	c=108 d=6.39226 t=5390
shì;op,ov ba;kb 	是吧	c=1 d=0.00143728 t=5390
shì;op,ov bú;ad,ax shì;op,ov 	是不是	c=5 d=1.0374 t=5390
shì;op,ov bú;ad,ax shì;op,ov gǎn;xx jué;dj,jb 	是不是感觉	c=1 d=0.891366 t=5390
shì;op,ov de;bu 	是的	c=6 d=0.786628 t=5390
shì;op,ov fǒu;kb 	是否	c=5 d=0.548106 t=5390
shì;op,ov huì;ry 	是会	c=1 d=0.373439 t=5390
shì;op,ov ma;km 	是吗	c=1 d=0.00289433 t=5390
shì;op,ov me;ps 	是么	c=1 d=0.0380064 t=5390
shì;op,ov shá;ku 	是啥	c=4 d=0.795516 t=5390
shì;op,ov shén;ru me;ps yàng;my 	是什么样	c=1 d=0.222017 t=5390
shì;op,ov yào;xn 	是要	c=2 d=0.860118 t=5390
shì;op,ov yí;aa yàng;my 	是一样	c=1 d=0.000228266 t=5390
shì;op,ov yīn;kd wèi;dd 	是因为	c=2 d=1.31253 t=5390
shì;op,ov yǒu;ou,uo 	是有	c=1 d=0.29523 t=5390
shì;op,ov yǒu;ou,uo yì;aa diǎn;hv kùn;km léi;yt ēn;xy 	是有一点困雷恩	c=1 d=1 t=5390
shì;op,ov zhè;zw yàng;my 	是这样	c=3 d=0.846809 t=5390
shì;op,ov zhè;zw yàng;my de;bu 	是这样的	c=1 d=1.70832e-06 t=5390
shì;op,ov zài;ta,ut 	是在	c=1 d=0.878095 t=5390
shì;op,ov zěn;xv me;ps 	是怎么	c=1 d=0.316637 t=5390
shì;yu shì;yu 	试试	c=5 d=0.46659 t=5390
shì;zu hé;rk 	适合	c=1 d=0.00278085 t=5390
shì;zu hé;rk wǒ;pd,pp 	适合我	c=1 d=0.000531398 t=5390
shì;zu pèi;yj 	适配	c=2 d=0.256183 t=5390
shí;bt jì;eu 	实际	c=2 d=0.0367088 t=5390
shí;bt jì;eu shàng;aa,ba 	实际上	c=1 d=0.0315873 t=5390
shí;bt xiàn;wj 	实现	c=6 d=1.26553 t=5390
shí;bt xiàn;wj de;bu 	实现的	c=2 d=0.647784 t=5390
shí;bt yàn;ma,mq 	实验	c=1 d=6.65821e-10 t=5390
shí;bt zài;ta,ut 	实在	c=1 d=1.2719e-06 t=5390
shí;oc 	时	c=2 d=0.262788 t=5390
shí;oc bù;ad,ax shí;oc 	时不时	c=1 d=0.447088 t=5390
shí;oc hou;ru 	时候	c=15 d=1.32158 t=5390
shí;oc jiān;mo,om 	时间	c=6 d=1.45915 t=5390
shí;oc jiān;mo,om chuō;gd,gv 	时间戳	c=1 d=0.316637 t=5390
shí;oc jiān;mo,om xiàn;sj 	时间线	c=1 d=0.140858 t=5390
shí;rl,pd táng;tk,dt,xt 	食堂	c=1 d=0.0162445 t=5390
shí;yv bié;dl 	识别	c=5 d=0.334872 t=5390
shòu;vy,yb bù;ad,ax liǎo;aa,vu 	受不了	c=1 d=0.167797 t=5390
shù;wl 	数	c=2 d=0.432881 t=5390
shù;wl jù;fj kù;gi 	数据库	c=1 d=0.000251014 t=5390
shù;wl liàng;ol 	数量	c=1 d=0.421051 t=5390
shù;wl zì;bz 	数字	c=14 d=1.62538 t=5390
shù;wl zì;bz háng;xd,xi 	数字行	c=4 d=1.63781 t=5390
shùn;yi suì;zu 	顺遂	c=1 d=0.0147723 t=5390
shùn;yi xù;gy 	顺序	c=3 d=0.0288296 t=5390
shùn;yi yǎn;og 	顺眼	c=1 d=0.737123 t=5390
shú;hu liàn;sd,sj 	熟练	c=0 d=0.0329559 t=5390
shāi;vu 	筛	c=0 d=5.21141e-11 t=5390
shāi;vu dào;dv wǔ;aa gè;ra,pa yǐ;rd,ry nèi;ad,kr 	筛到五个以内	c=1 d=5.23753e-10 t=5390
shān;aa 	山	c=1 d=0.752014 t=5390
shān;dc 	删	c=1 d=0.802519 t=5390
shān;dc chú;ey 	删除	c=2 d=1.34214 t=5390
shān;dc chú;ey le;aa,vu 	删除了	c=1 d=0.562705 t=5390
shān;dc diào;fv 	删掉	c=3 d=0.904703 t=5390
shān;dc le;aa,vu 	删了	c=1 d=0.0639279 t=5390
shāng;wk,lk,dk diàn;gv 	商店	c=1 d=0.644036 t=5390
shēn;aa,oa qǐng;yq 	申请	c=2 d=0.0276041 t=5390
shēng;na chéng;gg,wg 	生成	c=2 d=0.551508 t=5390
shēng;na rì;aa,or,ri kuài;xd,xg lè;pd,px 	生日快乐	c=1 d=0.97531 t=5390
shēng;na xiào;wj 	生效	c=5 d=0.10855 t=5390
shēng;um yīn;lo 	声音	c=1 d=0.83527 t=5390
shěn;bu měi;dy,yd 	审美	c=1 d=1.94548e-06 t=5390
shī;pf bài;bw,wb 	失败	c=3 d=0.18194 t=5390
shī;pf xiào;wj 	失效	c=1 d=0.00362464 t=5390
shōu;wj,jw cáng;cg,ci 	收藏	c=1 d=0.729789 t=5390
shōu;wj,jw dào;dv 	收到	c=1 d=0.438235 t=5390
shū;ad,vd shān;aa 	书山	c=0 d=0.1 t=5389
shū;ad,vd shān;aa jiē;fq kǒu;aa 	书山接口	c=1 d=1 t=5390
shū;iy chū;ck,aa 	输出	c=4 d=0.496528 t=5390
shū;iy chū;ck,aa gé;mg shì;gy,yg 	输出格式	c=2 d=0.21689 t=5390
shū;iy rù;pd 	输入	c=5 d=1.63828 t=5390
shū;iy rù;pd fǎ;dq 	输入法	c=6 d=4.33245 t=5390
shū;iy rù;pd gé;mg shì;gy,yg 	输入格式	c=9 d=0.993858 t=5390
shū;iy rù;pd zhōng;aa,ka 	输入中	c=1 d=2.13937e-06 t=5390
shū;yu,uy fu;oy yì;aa diǎn;hv 	舒服一点	c=2 d=0.908358 t=5390
shǎo;xp yí;aa cì;dq 	少一次	c=1 d=0.257947 t=5390
shǐ;pd,pt,rd 	矢	c=1 d=0.0037164 t=5390
shǐ;rl de;xc 	使得	c=2 d=0.296905 t=5390
shǐ;rl yòng;kf 	使用	c=15 d=1.67276 t=5390
shǒu;pa,ub 	手	c=2 d=0.666977 t=5390
shǒu;pa,ub dòng;ly,yl 	手动	c=2 d=0.346549 t=5390
shǒu;pa,ub gǎn;xx 	手感	c=3 d=0.0970571 t=5390
shǒu;pa,ub jī;mj 	手机	c=4 d=3.08949 t=5390
shǒu;pa,ub jī;mj shàng;aa,ba 	手机上	c=1 d=0.00275318 t=5390
shǒu;pa,ub shàng;aa,ba 	手上	c=1 d=0.612626 t=5390
shǒu;pa,ub shì;lv 	手势	c=1 d=0.923116 t=5390
shǒu;pa,ub xīn;dd 	手心	c=2 d=0.00538387 t=5390
shǒu;qz 	首	c=1 d=0.965605 t=5390
shǒu;qz xuǎn;zx 	首选	c=1 d=0.0015648 t=5390
shǒu;qz xuǎn;zx wèi;rl 	首选位	c=1 d=0.00141589 t=5390
shǒu;qz xuǎn;zx xiàng;gy,yg 	首选项	c=1 d=0.00179994 t=5390
shǔ;ju biāo;mu 	鼠标	c=1 d=0.0337087 t=5390
suàn;vc 	算	c=1 d=0.000389752 t=5390
suàn;vc le;aa,vu 	算了	c=3 d=0.385439 t=5390
suàn;vc shì;op,ov 	算是	c=1 d=0.0259911 t=5390
suí;ey,ez shí;oc 	随时	c=0 d=0.00478349 t=5390
suí;ey,ez shí;oc zhǎo;fg wǒ;pd,pp 	随时找我	c=1 d=0.0480746 t=5390
suō;ss xiǎo;ad le;aa,vu 	缩小了	c=0 d=0.000296761 t=5390
suǒ;hj,jh jiàn;ag,ek,ke jí;eg,ge suǒ;hj,jh dé;xc 	所见即所得	c=1 d=0.0587186 t=5390
suǒ;hj,jh yǐ;rd,ry 	所以	c=14 d=2.14181 t=5390
suǒ;hj,jh yǒu;ou,uo 	所有	c=5 d=0.599197 t=5390
suǒ;hj,jh zài;ta,ut 	所在	c=1 d=0.0483156 t=5390
suǒ;sb,us lóng;eu 	索隆	c=1 d=0.740818 t=5390
sì;aa,ke zhǐ;fv 	四指	c=1 d=0.396531 t=5390
sān;aa 	三	c=1 d=0.932394 t=5390
sān;aa niú;pa 	三牛	c=1 d=0.00118857 t=5390
sān;aa sì;aa,ke tiān;ad 	三四天	c=1 d=0.329559 t=5390
sī;hs mì;ub,bu mǎ;aa,vh sài;bb 	私密马赛	c=1 d=0.0409665 t=5390
sī;hs yào;jo 	私钥	c=1 d=0.144424 t=5390
sī;tx,xt wéi;sv 	思维	c=1 d=0.0015415 t=5390
sī;tx,xt yuán;dy hēi;ad,ha tǐ;rb 	思源黑体	c=2 d=0.134748 t=5390
sōng;mg 	松	c=1 d=1.8692e-06 t=5390
sōng;mg shǒu;pa,ub 	松手	c=1 d=0.0502874 t=5390
sōu;fs,fy 	搜	c=1 d=0.831104 t=5390
sōu;fs,fy bú;ad,ax dào;dv 	搜不到	c=2 d=0.2334 t=5390
sōu;fs,fy dào;dv 	搜到	c=0 d=0.0847894 t=5390
sōu;fs,fy dào;dv qí;ba,ad,hb tā;ry 	搜到其他	c=1 d=0.852144 t=5390
sōu;fs,fy gǒu;qj 	搜狗	c=2 d=0.0262867 t=5390
sōu;fs,fy suǒ;sb,us 	搜索	c=1 d=0.00200924 t=5390
sǎo;fx 	扫	c=1 d=0.256661 t=5390
sǎo;fx mǎ;um 	扫码	c=1 d=0.0129068 t=5390
tiào;zv dòng;ly,yl 	跳动	c=1 d=0.00050296 t=5390
tián;tv 	填	c=1 d=8.13236e-10 t=5390
tián;tv kòng;xg,bg 	填空	c=1 d=0.236928 t=5390
tiáo;yv 	调	c=1 d=0.0224829 t=5390
tiáo;yv guò;zc le;aa,vu 	调过了	c=1 d=1.58488e-06 t=5390
tiáo;yv pín;yb 	调频	c=2 d=0.441119 t=5390
tiáo;yv pín;yb dǎng;xx,dx,ek 	调频党	c=1 d=0.180866 t=5390
tiáo;yv zhěng;vi,vw 	调整	c=2 d=0.996355 t=5390
tiān;ad 	天	c=0 d=0.000577048 t=5390
tiān;dt,dx jiā;lk,kl 	添加	c=1 d=0.0166557 t=5390
tiāo;fv zhe;yo 	挑着	c=2 d=1.65959 t=5390
tuán;kc duì;er 	团队	c=0 d=2.17133e-05 t=5390
tuì;zg 	退	c=1 d=0.0437178 t=5390
tuì;zg gé;mg 	退格	c=1 d=0.0468877 t=5390
tuò;fu huāng;ci niú;pa 	拓荒牛	c=1 d=0.000308126 t=5390
tuī;fv 	推	c=2 d=0.0605476 t=5390
tuī;fv chí;zi 	推迟	c=2 d=0.0611342 t=5390
tuī;fv dào;dv 	推到	c=1 d=0.0308074 t=5390
tuī;fv jiàn;cc 	推荐	c=1 d=0.740818 t=5390
tuī;fv sòng;zg 	推送	c=2 d=0.285804 t=5390
tài;dd 	太	c=6 d=1.11596 t=5390
tài;dd chà;yg le;aa,vu 	太差了	c=1 d=1.67449e-06 t=5390
tài;dd cháng;pd 	太长	c=1 d=0.831104 t=5390
tài;dd duō;xx 	太多	c=2 d=0.767352 t=5390
tài;dd dà;ad le;aa,vu 	太大了	c=2 d=0.186705 t=5390
tài;dd gāo;wk le;aa,vu 	太高了	c=1 d=0.0982736 t=5390
tài;dd lì;iw hai;bk 	太厉害	c=1 d=0.010358 t=5390
tái;ft gāo;wk 	抬高	c=1 d=0.99005 t=5390
tán;gd chuāng;xx,bx 	弹窗	c=1 d=0.0350844 t=5390
tán;gd chū;ck,aa 	弹出	c=2 d=0.0421616 t=5390
tán;yy tán;yy 	谈谈	c=1 d=0.172907 t=5390
tè;ns bié;dl chà;yg 	特别差	c=1 d=0.00231117 t=5390
tì;of,fo huàn;fh 	替换	c=2 d=0.180866 t=5390
tí;fu chū;ck,aa lái;am,wb 	提出来	c=1 d=0.0902655 t=5390
tí;fu gōng;rg 	提供	c=4 d=0.136744 t=5390
tí;fu gōng;rg yǒu;ou,uo 	提供有	c=1 d=0.202909 t=5390
tí;fu jiāo;li,wf,df 	提交	c=1 d=0.0274607 t=5390
tí;fu quán;my 	提权	c=2 d=0.722527 t=5390
tí;fu qǔ;ey,ye 	提取	c=5 d=1.38729 t=5390
tí;uy,yu gàn;aa 	题干	c=1 d=0.0710054 t=5390
tí;uy,yu kù;gi 	题库	c=12 d=3.26693 t=5390
tí;uy,yu kù;gi zhōng;aa,ka 	题库中	c=1 d=0.0459593 t=5390
tí;uy,yu mù;aa,om,mu 	题目	c=8 d=1.61557 t=5390
tóng;kk 	同	c=1 d=0.000343955 t=5390
tóng;kk bù;vx 	同步	c=10 d=0.522046 t=5390
tóng;kk bù;vx le;aa,vu 	同步了	c=1 d=0.529935 t=5390
tóng;kk bù;vx luó;zl jí;ie,iq 	同步逻辑	c=1 d=0.0547488 t=5390
tóng;kk míng;xk 	同名	c=2 d=0.000474157 t=5390
tóng;kk rén;pd wén;wi,dd 	同人文	c=1 d=0.135335 t=5390
tóng;kk shí;oc 	同时	c=4 d=0.38593 t=5390
tóng;kk wèn;km,mk 	同问	c=1 d=0.00214418 t=5390
tóng;kk wén;wi,dd 	同文	c=9 d=2.22055 t=5390
tóng;kk wén;wi,dd shū;iy rù;pd fǎ;dq 	同文输入法	c=1 d=1 t=5390
tóng;kk xué;dz,zb 	同学	c=1 d=0.00697795 t=5390
tóng;kk yàng;my 	同样	c=1 d=0.527292 t=5390
tóu;dd tòng;by 	头痛	c=1 d=0.852144 t=5390
tú;kd 	图	c=3 d=1.40817 t=5390
tú;kd piàn;pa,pv 	图片	c=1 d=0.0424258 t=5390
tú;kd èr;aa 	图二	c=1 d=4.24546e-10 t=5390
tā;bb 	它	c=6 d=1.20227 t=5390
tā;ry 	他	c=1 d=0.0332068 t=5390
tā;ry bú;ad,ax shì;op,ov 	他不是	c=1 d=0.000542133 t=5390
tā;ry men;rm 	他们	c=2 d=0.489192 t=5390
tīng;kj jiàn;ag,ek,ke 	听见	c=2 d=1.66679 t=5390
tīng;kj zhe;yo 	听着	c=1 d=0.970446 t=5390
tōng;zy 	通	c=1 d=0.00891518 t=5390
tōng;zy guò;zc 	通过	c=5 d=1.36811 t=5390
tōu;ry le;aa,vu 	偷了	c=1 d=0.00200924 t=5390
tōu;ry lǎn;xl 	偷懒	c=1 d=0.878095 t=5390
tū;xq,bq rán;hq 	突然	c=1 d=2.51057e-06 t=5390
tūn;kt 	吞	c=3 d=0.735102 t=5390
tǎo;yc lùn;yl 	讨论	c=1 d=0.183599 t=5390
tǐ;rb cè;dz 	体测	c=1 d=0.0293049 t=5390
tǐ;rb cè;rz 	体侧	c=1 d=0.0225956 t=5390
tǐng;ft 	挺	c=0 d=0.00403566 t=5390
tǐng;ft hǎo;nz de;bu 	挺好的	c=1 d=0.0930145 t=5390
tǐng;ft hǎo;nz àn;oy 	挺好暗	c=1 d=0.0405589 t=5390
tǐng;ft kuài;xd,xg 	挺快	c=1 d=0.256661 t=5390
tǐng;ft má;gl fan;hy 	挺麻烦	c=2 d=0.0311825 t=5390
tǐng;ft shuǎng;dy 	挺爽	c=1 d=0.0300468 t=5390
tǐng;ft shū;yu,uy fu;oy 	挺舒服	c=0 d=0.000110269 t=5390
tǐng;ft shū;yu,uy fu;oy de;bu 	挺舒服的	c=1 d=0.00110822 t=5390
tǐng;ft zhèng;av cháng;jk,xd,dd 	挺正常	c=1 d=0.00319873 t=5390
tǔ;kt sī;gk,ka 	吐司	c=1 d=0.155673 t=5390
wài;xb 	外	c=1 d=0.327915 t=5390
wài;xb guān;jy,yj 	外观	c=1 d=0.985112 t=5390
wài;xb háng;xd,xi rén;pd 	外行人	c=1 d=0.0152985 t=5390
wài;xb miàn;aa 	外面	c=1 d=0.224249 t=5390
wàn;ag,ap xiàng;du,pd,ua 	万象	c=14 d=0.432908 t=5390
wàn;ag,ap yī;aa 	万一	c=2 d=0.003547 t=5390
wán;by 	完	c=2 d=0.349955 t=5390
wán;by chéng;gg,wg 	完成	c=1 d=0.00109172 t=5390
wán;by měi;dy,yd 	完美	c=4 d=0.523092 t=5390
wán;by quán;rw 	完全	c=2 d=0.0320676 t=5390
wán;by zhěng;vi,vw 	完整	c=6 d=1.15809 t=5390
wán;wy 	玩	c=2 d=0.12938 t=5390
wán;wy bù;ad,ax liǎo;aa,vu 	玩不了	c=1 d=8.33823e-10 t=5390
wán;wy yì;xy,lx er;pg 	玩意儿	c=1 d=0.818731 t=5390
wáng;aa gē;kd,kk,dk 	王哥	c=1 d=0.0800583 t=5390
wáng;aa hè;bj 	王贺	c=1 d=0.0471225 t=5390
wáng;aa zhě;lo,ol 	王者	c=1 d=0.0010701 t=5390
wèi;dd 	为	c=3 d=0.37914 t=5390
wèi;dd le;aa,vu 	为了	c=3 d=0.566728 t=5390
wèi;dd nín;xn fú;oy wù;wl 	为您服务	c=1 d=0.00506703 t=5390
wèi;dd shén;ru me;ps 	为什么	c=9 d=2.06461 t=5390
wèi;rl 	位	c=1 d=0.377332 t=5390
wèi;rl zhì;sv 	位置	c=1 d=0.00122485 t=5390
wèi;rl zhì;sv cuò;jx le;aa,vu 	位置错了	c=1 d=0.00336274 t=5390
wèn;km,mk 	问	c=6 d=1.59074 t=5390
wèn;km,mk tí;uy,yu 	问题	c=25 d=0.991855 t=5390
wèn;km,mk tí;uy,yu me;ps 	问题么	c=1 d=0.0611149 t=5390
wèn;km,mk yí;aa xià;ab,ad 	问一下	c=1 d=0.00511798 t=5390
wéi;kv yī;aa xìng;xu 	唯一性	c=1 d=0.000254808 t=5390
wéi;sv xiū;rp 	维修	c=1 d=0.00210172 t=5390
wén;wi,dd 	文	c=1 d=0.00215492 t=5390
wén;wi,dd běn;aa,ma 	文本	c=3 d=0.719405 t=5390
wén;wi,dd jiàn;rn 	文件	c=24 d=6.28924 t=5390
wén;wi,dd jiàn;rn guǎn;vg lǐ;wl qì;kk,qk 	文件管理器	c=1 d=0.142274 t=5390
wén;wi,dd jiàn;rn jiā;fb,ar 	文件夹	c=6 d=0.225373 t=5390
wù;nw dì;ty shēng;na 	物地生	c=2 d=0.0016995 t=5390
wù;nw lǐ;wl 	物理	c=1 d=0.00146632 t=5390
wú;ag,ay,ee fǎ;dq 	无法	c=6 d=0.488554 t=5390
wú;ag,ay,ee lùn;yl 	无论	c=1 d=0.0167392 t=5390
wú;ag,ay,ee qù;zq 	无趣	c=1 d=0.377192 t=5390
wú;ag,ay,ee rén;pd 	无人	c=1 d=0.357007 t=5390
wú;ag,ay,ee suǒ;hj,jh wèi;yw 	无所谓	c=1 d=0.594521 t=5390
wú;ag,ay,ee wàng;nw zhī;dd zāi;bh,hb 	无妄之灾	c=1 d=0.0385808 t=5390
wú;ag,ay,ee wèi;ty qì;dd yuē;su 	无畏契约	c=1 d=0.826959 t=5390
wú;ag,ay,ee yí;bp 	无疑	c=1 d=0.0349094 t=5390
wú;ag,ay,ee yòng;kf 	无用	c=2 d=0.449665 t=5390
wú;kt fēi;cf 	吴菲	c=1 d=1 t=5390
wēi;xw xìn;ry 	微信	c=1 d=0.0871609 t=5390
wēi;xw xìn;ry dú;ym shū;ad,vd 	微信读书	c=1 d=0.106459 t=5390
wǎn;uw 	碗	c=1 d=0.0930147 t=5390
wǎng;ki yè;ab 	网页	c=4 d=2.35607 t=5390
wǎng;ki yè;ab quán;rw píng;ub 	网页全屏	c=1 d=0.516851 t=5390
wǎng;ki yì;ow yún;es,se 	网易云	c=4 d=0.0195471 t=5390
wǎng;ki zhǐ;tv 	网址	c=3 d=0.0292259 t=5390
wǒ;pd,pp 	我	c=172 d=11.2624 t=5390
wǒ;pd,pp bù;ad,ax 	我不	c=0 d=0.000562801 t=5390
wǒ;pd,pp bù;ad,ax jiē;fq 	我不接	c=1 d=0.0136366 t=5390
wǒ;pd,pp bù;ad,ax shuā;dj kè;yg 	我不刷课	c=1 d=0.00565622 t=5390
wǒ;pd,pp bù;ad,ax xíng;xd,xi le;aa,vu 	我不行了	c=5 d=0.926623 t=5390
wǒ;pd,pp bú;ad,ax huì;ry 	我不会	c=1 d=0.00282287 t=5390
wǒ;pd,pp běn;aa,ma lái;am,wb 	我本来	c=2 d=0.0789831 t=5390
wǒ;pd,pp cāo;fz le;aa,vu 	我操了	c=1 d=0.763379 t=5390
wǒ;pd,pp de;bu 	我的	c=4 d=0.961794 t=5390
wǒ;pd,pp dì;vp yī;aa cì;dq 	我第一次	c=1 d=0.13466 t=5390
wǒ;pd,pp děng;vs děng;vs 	我等等	c=1 d=0.136014 t=5390
wǒ;pd,pp dōu;ev 	我都	c=3 d=0.514655 t=5390
wǒ;pd,pp dōu;ev bú;ad,ax ài;vy kàn;ou,uo 	我都不爱看	c=1 d=0.133989 t=5390
wǒ;pd,pp dōu;ev shì;op,ov 	我都是	c=2 d=0.115325 t=5390
wǒ;pd,pp dōu;ev yòng;kf 	我都用	c=1 d=0.00048566 t=5390
wǒ;pd,pp fā;ay,fd,vy,yd de;bu 	我发的	c=1 d=0.00582849 t=5390
wǒ;pd,pp fā;ay,fd,vy,yd xiàn;wj 	我发现	c=2 d=0.647304 t=5390
wǒ;pd,pp gāi;yh 	我该	c=1 d=0.031117 t=5390
wǒ;pd,pp gāi;yh gàn;aa shén;ru me;ps 	我该干什么	c=1 d=0.0212797 t=5390
wǒ;pd,pp gāng;dg 	我刚	c=2 d=0.974701 t=5390
wǒ;pd,pp gǎi;wj,jw 	我改	c=1 d=0.00232276 t=5390
wǒ;pd,pp gǎn;xx jué;dj,jb 	我感觉	c=3 d=0.0925737 t=5390
wǒ;pd,pp huì;ry 	我会	c=1 d=7.39535e-10 t=5390
wǒ;pd,pp hái;zb 	我还	c=1 d=2.19353e-06 t=5390
wǒ;pd,pp hái;zb jué;dj,jb dé;xc 	我还觉得	c=1 d=0.0720784 t=5390
wǒ;pd,pp hái;zb méi;du 	我还没	c=1 d=0.0328764 t=5390
wǒ;pd,pp hái;zb shì;op,ov 	我还是	c=5 d=0.540646 t=5390
wǒ;pd,pp hái;zb yǐ;rd,ry wéi;dd 	我还以为	c=1 d=0.980199 t=5390
wǒ;pd,pp hái;zb zài;ta,ut 	我还在	c=1 d=0.19398 t=5390
wǒ;pd,pp jiù;yj 	我就	c=3 d=0.99005 t=5390
wǒ;pd,pp jiù;yj shuō;yd 	我就说	c=1 d=0.00032882 t=5390
wǒ;pd,pp jiù;yj shì;op,ov 	我就是	c=1 d=0.113042 t=5390
wǒ;pd,pp jué;dj,jb de;xc 	我觉得	c=3 d=0.104357 t=5390
wǒ;pd,pp jué;dj,jb de;xc yě;gg shì;op,ov 	我觉得也是	c=1 d=1.03098e-06 t=5390
wǒ;pd,pp jì;gg,gw rán;hq 	我既然	c=1 d=1.71688e-06 t=5390
wǒ;pd,pp jì;yj dé;xc 	我记得	c=2 d=0.19692 t=5390
wǒ;pd,pp kàn;ou,uo 	我看	c=1 d=0.0434998 t=5390
wǒ;pd,pp kàn;ou,uo nǐ;re 	我看你	c=1 d=0.00540733 t=5390
wǒ;pd,pp kào;fg,nf 	我靠	c=2 d=0.244941 t=5390
wǒ;pd,pp kāi;ac jī;mj le;aa,vu 	我开机了	c=1 d=0.0130365 t=5390
wǒ;pd,pp lei;kl gè;ra,pa dòu;aa,aq 	我嘞个豆	c=1 d=0.133989 t=5390
wǒ;pd,pp lián;zi 	我连	c=1 d=0.000649052 t=5390
wǒ;pd,pp lái;am,wb kàn;ou,uo kàn;ou,uo 	我来看看	c=1 d=0.00192082 t=5390
wǒ;pd,pp men;rm 	我们	c=11 d=0.850613 t=5390
wǒ;pd,pp méi;du 	我没	c=3 d=0.97531 t=5390
wǒ;pd,pp měi;pm,rm cì;dq 	我每次	c=1 d=0.882497 t=5390
wǒ;pd,pp nǎ;kn zhī;uk,ku dào;zu 	我哪知道	c=1 d=0.0105672 t=5390
wǒ;pd,pp píng;aa,gb cháng;jk,xd,dd 	我平常	c=1 d=1.35055e-06 t=5390
wǒ;pd,pp qí;ba,ad,hb shí;bt 	我其实	c=1 d=0.0536647 t=5390
wǒ;pd,pp qù;ts 	我去	c=1 d=0.565525 t=5390
wǒ;pd,pp qù;ts shàng;aa,ba gè;ra,pa 	我去上个	c=1 d=0.909373 t=5390
wǒ;pd,pp shì;op,ov 	我是	c=5 d=1.88499 t=5390
wǒ;pd,pp shì;op,ov shuí;yv 	我是谁	c=0 d=0.00405589 t=5390
wǒ;pd,pp shì;op,ov shuō;yd 	我是说	c=3 d=0.0407622 t=5390
wǒ;pd,pp shì;yu shì;yu 	我试试	c=2 d=0.740818 t=5390
wǒ;pd,pp shòu;vy,yb bù;ad,ax liǎo;aa,vu le;aa,vu 	我受不了了	c=1 d=0.0213864 t=5390
wǒ;pd,pp suàn;vc shì;op,ov 	我算是	c=1 d=0.818731 t=5390
wǒ;pd,pp xiǎng;xx 	我想	c=1 d=0.0037164 t=5390
wǒ;pd,pp xiǎng;xx kàn;ou,uo kàn;ou,uo 	我想看看	c=1 d=0.313486 t=5390
wǒ;pd,pp xiǎng;xx qǐ;zj lái;am,wb le;aa,vu 	我想起来了	c=1 d=0.155673 t=5390
wǒ;pd,pp xī;ju,ib,ij wàng;wo 	我希望	c=2 d=0.99005 t=5390
wǒ;pd,pp yòng;kf 	我用	c=2 d=0.715338 t=5390
wǒ;pd,pp yòng;kf de;bu 	我用的	c=1 d=0.960789 t=5390
wǒ;pd,pp yòu;vd,ad 	我又	c=3 d=0.640824 t=5390
wǒ;pd,pp yě;gg bú;ad,ax tài;dd 	我也不太	c=1 d=0.0692522 t=5390
wǒ;pd,pp yě;gg kàn;ou,uo 	我也看	c=1 d=0.1764 t=5390
wǒ;pd,pp yě;gg méi;du shá;ku 	我也没啥	c=1 d=6.49382e-10 t=5390
wǒ;pd,pp yě;gg shì;op,ov 	我也是	c=1 d=0.000497954 t=5390
wǒ;pd,pp yě;gg shì;yu guò;zc 	我也试过	c=1 d=0.0161635 t=5390
wǒ;pd,pp yě;gg yǒu;ou,uo 	我也有	c=1 d=0.249075 t=5390
wǒ;pd,pp yī;aa zhí;aa,uq 	我一直	c=2 d=0.0218651 t=5390
wǒ;pd,pp yǐ;vg,ag jīng;sg 	我已经	c=1 d=2.8025e-06 t=5390
wǒ;pd,pp yǒu;ou,uo diǎn;hv 	我有点	c=1 d=1.45573e-06 t=5390
wǒ;pd,pp zhè;zw 	我这	c=1 d=0.0266491 t=5390
wǒ;pd,pp zhè;zw biān;zl 	我这边	c=2 d=0.860708 t=5390
wǒ;pd,pp zhè;zw bú;ad,ax shì;op,ov 	我这不是	c=1 d=0.00402593 t=5390
wǒ;pd,pp zhè;zw ge;ra,pa 	我这个	c=1 d=0.171187 t=5390
wǒ;pd,pp zhè;zw lǐ;aa,tt 	我这里	c=1 d=3.3396e-10 t=5390
wǒ;pd,pp zhī;uk,ku dào;zu 	我知道	c=2 d=0.66411 t=5390
wǒ;pd,pp zhǐ;kb 	我只	c=1 d=0.0496585 t=5390
wǒ;pd,pp zhǐ;kb ràng;yu nǐ;re 	我只让你	c=1 d=4.44087e-10 t=5390
